,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,years_established,Item_Identifier_mean_ordinal
0,2.2300144001592104,2,682,5.52069742647686,49,1999,2793,2388,5577,3.1354942159291497,5198.06705
1,1.7783364488959144,2,445,3.8767936760939996,18,2009,2793,3350,928,2.5649493574615367,862.2110000000001
2,2.8622008809294686,2,425,4.953133291824797,49,1999,2793,2388,5577,3.1354942159291497,1478.0759999999998
3,2.954910279033736,2,1232,5.204528528915633,10,1998,2410,3350,1083,3.1780538303479458,3021.0674999999997
4,2.189416394888408,2,910,3.986414080361637,13,1987,932,3350,5577,3.5553480614894135,653.9265666666666
5,2.341324921309976,2,648,3.939653736542333,18,2009,2793,3350,928,2.5649493574615367,1214.4192
6,2.613739521630969,2,1200,4.054542880339164,13,1987,932,3350,5577,3.5553480614894135,844.5672999999999
7,2.533696813957432,2,1200,4.679926947632389,27,1985,2793,3350,935,3.6109179126442243,1769.4110571428573
8,2.785011242238338,2,856,4.57442846437322,45,2002,2410,2785,5577,2.995732273553991,1384.1982
9,2.954910279033736,2,856,5.2354915112939535,17,2007,2410,2785,5577,2.70805020110221,1997.2668399999998
10,2.468099531471619,2,1232,3.818595452369472,49,1999,2793,2388,5577,3.1354942159291497,721.9174285714286
11,2.917770732084279,2,682,4.970578284678049,46,1997,2388,2388,5577,3.2188758248682006,2260.0581
12,2.714694743820879,2,1232,4.980028996756564,49,1999,2793,2388,5577,3.1354942159291497,1816.3024
13,2.8678989020441064,2,1200,4.784806474006111,46,1997,2388,2388,5577,3.2188758248682006,1644.65916
14,2.7942278973432626,2,1232,5.2803702766770195,13,1987,932,3350,5577,3.5553480614894135,1819.2319199999997
15,2.1972245773362196,2,110,4.031784527034242,46,1997,2388,2388,5577,3.2188758248682006,781.5540857142857
16,2.468099531471619,2,520,4.747964049181755,18,2009,2793,3350,928,2.5649493574615367,1892.2035999999998
17,2.1972245773362196,2,110,3.995654343182361,49,1999,2793,2388,5577,3.1354942159291497,781.5540857142857
18,2.533696813957432,2,214,4.729892643619289,27,1985,2793,3350,935,3.6109179126442243,1398.6555714285714
19,2.5915163848462583,2,682,5.440403562274236,35,2004,2388,2785,5577,2.8903717578961645,3435.528
20,2.93651291389402,2,1200,5.524944443335842,13,1987,932,3350,5577,3.5553480614894135,3334.6593
21,2.533696813957432,2,648,4.973586726791809,27,1985,2793,3350,935,3.6109179126442243,1990.5517714285713
22,2.681021528714291,2,910,5.280705178487246,35,2004,2388,2785,5577,2.8903717578961645,2692.6854285714285
23,2.533696813957432,2,648,4.679292015188661,19,1985,2388,2388,1083,3.6109179126442243,1858.0258666666668
24,2.6282852326333477,2,856,5.106072738529367,46,1997,2388,2388,5577,3.2188758248682006,2642.5602
25,2.5649493574615367,2,910,3.8265958274777696,17,2007,2410,2785,5577,2.70805020110221,671.1264
26,2.0340518393810254,2,1200,3.7450518264191204,35,2004,2388,2785,5577,2.8903717578961645,690.30144
27,2.4553061800117097,2,214,3.6665418163922214,13,1987,932,3350,5577,3.5553480614894135,469.83286666666663
28,1.7791806870211948,2,682,3.817901319085589,10,1998,2410,3350,1083,3.1780538303479458,516.1852285714285
29,2.533696813957432,2,649,3.7760978929981057,19,1985,2388,2388,1083,3.6109179126442243,561.019725
30,2.9575110607337933,2,682,4.021695013231605,10,1998,2410,3350,1083,3.1780538303479458,746.1398666666666
31,2.9231615807191558,2,520,4.56895838152543,18,2009,2793,3350,928,2.5649493574615367,2136.6853600000004
32,2.928523523860541,2,1200,5.547780304099539,18,2009,2793,3350,928,2.5649493574615367,4474.176
33,2.8820035082256483,2,251,4.534142388299658,45,2002,2410,2785,5577,2.995732273553991,1553.2162857142855
34,2.8622008809294686,2,445,5.164064570917784,46,1997,2388,2388,5577,3.2188758248682006,2571.85224
35,2.302585092994046,2,520,4.988459212384213,49,1999,2793,2388,5577,3.1354942159291497,1950.211425
36,2.533696813957432,2,1232,4.852559811184712,27,1985,2793,3350,935,3.6109179126442243,1939.30895
37,2.180417459019838,2,445,4.808427714528815,18,2009,2793,3350,928,2.5649493574615367,1754.3829999999998
38,2.533696813957432,2,1200,3.6105773141065867,27,1985,2793,3350,935,3.6109179126442243,291.12104999999997
39,2.533696813957432,2,1200,4.473006999799263,27,1985,2793,3350,935,3.6109179126442243,1520.1165142857142
40,2.5915163848462583,2,682,5.440837241459055,46,1997,2388,2388,5577,3.2188758248682006,3435.528
41,2.2823823856765264,2,425,4.836297779841376,13,1987,932,3350,5577,3.5553480614894135,1897.53
42,2.6100697927420065,2,1200,5.262242420277692,49,1999,2793,2388,5577,3.1354942159291497,3823.467466666667
43,3.0610517396746335,2,649,5.560403900144187,18,2009,2793,3350,928,2.5649493574615367,4555.7365
44,2.4973291697865574,2,649,4.840278671142798,13,1987,932,3350,5577,3.5553480614894135,1431.8029
45,1.8594181177018698,2,682,5.182346313259612,10,1998,2410,3350,1083,3.1780538303479458,3832.74428
