,Item_Outlet_Sales
0,3735.138
1,443.4228
2,2097.27
3,732.38
4,994.7052
5,556.6088
6,343.5528
7,4022.7636
8,1076.5986
9,4710.535
10,1516.0266
11,2187.153
12,1589.2646
13,2145.2076
14,1977.426
15,1547.3192
16,1621.8888
17,718.3982
18,2303.668
19,2748.4224
20,3775.086
21,4064.0432
22,1587.2672
23,214.3876
24,4078.025
25,838.908
26,1065.28
27,308.9312
28,178.4344
29,125.8362
30,163.7868
31,2741.7644
32,3068.0064
33,2174.5028
34,2085.2856
35,3791.0652
36,2797.6916
37,1609.9044
38,388.1614
39,2180.495
40,3435.528
41,2150.534
42,2527.3768
43,6768.5228
44,373.5138
45,358.2004
46,2428.8384
47,5815.0972
48,2576.646
49,780.3176
50,3134.5864
51,850.8924
52,810.9444
53,3121.2704
54,4815.0656
55,6258.52
56,2117.244
57,796.9626
58,4910.275
59,892.172
60,3185.1872
61,1062.6168
62,484.7024
63,147.8076
64,2543.356
65,184.4266
66,4865.6664
67,1118.544
68,2302.3364
69,2027.361
70,3435.528
71,599.22
72,4604.6728
73,2285.0256
74,5580.7356
75,2290.352
76,1207.0954
77,643.1628
78,1587.933
79,5305.0944
80,1697.79
81,1427.4752
82,4693.89
83,583.2408
84,3091.9752
85,2479.4392
86,2716.464
87,3285.723
88,661.8052
89,1523.3504
90,369.519
91,690.4346
92,1381.535
93,622.523
94,1274.3412
95,487.3656
96,1231.73
97,3755.112
98,4363.6532
99,1314.2892
100,1805.6496
101,2854.9504
102,3896.2616
103,667.7974
104,3185.853
105,2247.7408
106,1794.331
107,2530.7058
108,679.116
109,812.276
110,699.09
111,2732.4432
112,176.437
113,4097.3332
114,3151.8972
115,5942.265
116,4843.695
117,2542.0244
118,2552.6772
119,1141.847
120,680.4476
121,2085.9514
122,186.424
123,3036.048
124,866.8716
125,868.869
126,1137.1864
127,928.1252
128,762.341
129,707.0796
130,7968.2944
131,1438.128
132,6976.2524
133,101.2016
134,952.094
135,1969.4364
136,5262.4832
137,1314.2892
138,535.3032
139,263.6568
140,1402.1748
141,1693.7952
142,2143.876
143,2676.516
144,905.488
145,7370.406
146,6301.1312
147,1597.92
148,529.311
149,1969.4364
150,1034.6532
151,1794.331
152,2768.3964
153,898.83
154,3169.208
155,3589.9936
156,262.3252
157,1910.1802
158,1701.7848
159,2471.4496
160,1331.6
161,1808.9786
162,3315.684
163,2618.5914
164,2769.728
165,5375.0034
166,2838.9712
167,1743.0644
168,5555.4352
169,619.194
170,2120.573
171,3823.0236
172,1360.2294
173,3969.4996
174,345.5502
175,585.2382
176,1010.6844
177,161.1236
178,42.6112
179,3010.7476
180,6024.1584
181,988.713
182,239.688
183,1374.2112
184,4739.8302
185,1012.016
186,657.8104
187,778.986
188,2336.958
189,2233.0932
190,1661.8368
191,4745.8224
192,3124.5994
193,467.3916
194,5070.7328
195,540.6296
196,992.7078
197,6008.845
198,2105.2596
199,5359.69
200,745.696
201,3275.736
202,1701.7848
203,6704.606
204,4119.9704
205,327.5736
206,780.9834
207,3630.6074
208,317.5866
209,231.6984
210,133.16
211,5650.6446
212,2636.568
213,1272.3438
214,324.9104
215,131.1626
216,260.9936
217,260.9936
218,3690.5294
219,1139.1838
220,1995.4026
221,1416.8224
222,265.6542
223,3552.7088
224,2406.867
225,213.056
226,2956.152
227,153.134
228,1649.8524
229,3101.2964
230,4769.1254
231,3435.528
232,1133.8574
233,2603.278
234,605.878
235,2293.0152
236,119.1782
237,1929.4884
238,2074.6328
239,241.6854
240,6795.1548
241,639.168
242,3248.4382
243,7222.5984
244,3225.1352
245,3755.112
246,3440.8544
247,974.7312
248,535.969
249,5259.82
250,306.268
251,1779.0176
252,759.012
253,1877.556
254,3779.0808
255,41.2796
256,259.662
257,193.082
258,1687.803
259,4655.9394
260,4950.8888
261,1418.154
262,1225.072
263,5359.69
264,1764.37
265,2553.343
266,1006.6896
267,1081.925
268,308.9312
269,2516.724
270,1428.141
271,2093.2752
272,1929.4884
273,5829.7448
274,2082.6224
275,7298.4996
276,7452.9652
277,450.0808
278,500.6816
279,3668.558
280,736.3748
281,6088.0752
282,2125.2336
283,2277.036
284,573.2538
285,2267.049
286,296.9468
287,559.272
288,5559.43
289,1237.7222
290,569.259
291,3866.9664
292,1379.5376
293,1869.5664
294,5499.508
295,925.462
296,583.2408
297,1418.154
298,942.7728
299,2364.9216
300,3251.7672
301,254.3356
302,5895.659
303,1134.5232
304,7696.648
305,2775.7202
306,5317.0788
307,874.8612
308,1039.9796
309,3038.0454
310,3848.324
311,527.3136
312,2390.8878
313,1677.816
314,801.6232
315,1267.0174
316,886.8456
317,452.744
318,3877.6192
319,4414.254
320,5448.9072
321,4950.8888
322,958.752
323,1956.1204
324,2404.2038
325,387.4956
326,994.7052
327,1754.383
328,3340.9844
329,3918.8988
330,306.268
331,4278.4308
332,4425.5726
333,9267.936
334,229.701
335,2055.9904
336,3339.6528
337,6410.3224
338,1992.0736
339,2870.9296
340,2807.0128
341,539.298
342,4377.635
343,2716.464
344,383.5008
345,703.0848
346,1937.478
347,3307.6944
348,3142.576
349,2554.0088
350,1869.5664
351,5494.8474
352,6093.4016
353,2586.633
354,1255.6988
355,4093.3384
356,3163.8816
357,5033.448
358,1137.1864
359,2696.49
360,898.83
361,2756.412
362,878.856
363,659.142
364,182.4292
365,3610.6334
366,5153.292
367,2588.6304
368,1286.3256
369,1230.3984
370,1733.7432
371,384.8324
372,3969.4996
373,7763.228
374,809.6128
375,1253.7014
376,5715.2272
377,1464.76
378,3251.1014
379,4274.436
380,5375.0034
381,1318.284
382,2251.7356
383,1176.4686
384,3523.4136
385,610.5386
386,1237.7222
387,474.0496
388,717.7324
389,2580.6408
390,2552.6772
391,3914.904
392,796.9626
393,916.1408
394,3259.7568
395,1677.816
396,3707.1744
397,2954.1546
398,2652.5472
399,1037.3164
400,717.7324
401,426.112
402,6911.004
403,3811.0392
404,2277.036
405,48.6034
406,5770.4886
407,690.4346
408,1890.2062
409,3195.84
410,1504.708
411,711.0744
412,4311.055
413,521.3214
414,829.5868
415,1571.288
416,2403.538
417,83.8908
418,844.2344
419,2940.1728
420,291.6204
421,3259.7568
422,3415.554
423,5624.6784
424,6687.961
425,5642.655
426,4943.565
427,3135.2522
428,796.9626
429,848.895
430,38.6164
431,4997.4948
432,588.5672
433,372.848
434,155.1314
435,3038.7112
436,1587.2672
437,687.1056
438,1929.4884
439,3600.6464
440,2181.1608
441,3428.2042
442,623.1888
443,2133.2232
444,3401.5722
445,1289.6546
446,50.6008
447,790.9704
448,3147.9024
449,2486.763
450,1139.8496
451,1816.3024
452,199.74
453,978.726
454,2683.174
455,2897.5616
456,9158.079
457,1957.452
458,1296.3126
459,2528.7084
460,284.2966
461,759.012
462,1787.673
463,2431.5016
464,4466.1864
465,2048.6666
466,1940.807
467,2067.309
468,2663.2
469,1146.5076
470,3448.844
471,1665.8316
472,8114.7704
473,1713.7692
474,810.9444
475,1193.1136
476,856.8846
477,165.7842
478,1057.9562
479,2205.1296
480,2940.1728
481,3046.7008
482,3327.6684
483,520.6556
484,2999.429
485,2113.2492
486,942.7728
487,75.2354
488,1581.9408
489,37.9506
490,151.8024
491,3486.1288
492,4262.4516
493,731.0484
494,1398.8458
495,2336.958
496,2348.9424
497,7094.7648
498,1054.6272
499,1298.31
500,2330.3
501,4584.6988
502,527.3136
503,1869.5664
504,2876.256
505,407.4696
506,2189.8162
507,1603.9122
508,2013.3792
509,95.8752
510,774.9912
511,2403.538
512,4380.2982
513,219.714
514,729.051
515,1393.5194
516,5262.4832
517,372.848
518,3273.7386
519,5344.3766
520,303.6048
521,314.2576
522,276.307
523,721.0614
524,3467.4864
525,5416.9488
526,283.6308
527,323.5788
528,5206.556
529,2503.408
530,1960.781
531,370.1848
532,95.8752
533,3299.7048
534,2684.5056
535,2085.2856
536,2210.456
537,2187.153
538,1049.9666
539,2719.793
540,56.593
541,231.6984
542,5734.5354
543,1398.18
544,1531.34
545,319.584
546,633.8416
547,1014.6792
548,2094.6068
549,2386.2272
550,780.9834
551,1693.7952
552,334.2316
553,1342.2528
554,4916.2672
555,1757.712
556,1637.868
557,1747.725
558,2876.256
559,1966.7732
560,958.752
561,81.2276
562,1238.388
563,319.584
564,4418.2488
565,2863.6058
566,1845.5976
567,1561.9668
568,3848.324
569,2097.27
570,639.168
571,559.272
572,2770.3938
573,295.6152
574,37.9506
575,1267.0174
576,353.5398
577,1118.544
578,4655.2736
579,1547.3192
580,1045.306
581,275.6412
582,2735.1064
583,347.5476
584,3817.0314
585,1905.5196
586,665.8
587,2324.9736
588,3205.1612
589,2101.9306
590,1821.6288
591,3643.2576
592,2942.836
593,587.2356
594,2886.243
595,2223.772
596,487.3656
597,5770.4886
598,1414.1592
599,5502.837
600,2181.8266
601,1565.9616
602,1054.6272
603,1667.829
604,2812.3392
605,489.363
606,2865.6032
607,1665.8316
608,2694.4926
609,1555.9746
610,3836.3396
611,543.2928
612,1950.794
613,177.7686
614,1035.319
615,949.4308
616,1283.6624
617,484.7024
618,934.7832
619,534.6374
620,878.856
621,1332.9316
622,3560.6984
623,647.8234
624,4993.5
625,1691.7978
626,1695.7926
627,4042.7376
628,4763.799
629,1640.5312
630,1288.9888
631,2334.9606
632,2207.127
633,437.4306
634,2370.248
635,5087.3778
636,103.199
637,4697.8848
638,2406.867
639,5736.5328
640,7192.6374
641,6611.394
642,3246.4408
643,1262.3568
644,1758.3778
645,4672.5844
646,3775.086
647,2478.7734
648,3067.3406
649,3281.7282
650,1086.5856
651,229.701
652,1528.011
653,1990.742
654,868.869
655,1230.3984
656,938.778
657,4194.54
658,1166.4816
659,5764.4964
660,113.8518
661,7443.644
662,3057.3536
663,3579.3408
664,1522.0188
665,450.0808
666,607.2096
667,1325.6078
668,1270.3464
669,1107.8912
670,3542.056
671,1534.0032
672,1308.297
673,1471.418
674,1239.7196
675,3896.2616
676,1496.0526
677,3460.8284
678,2870.9296
679,1259.6936
680,177.1028
681,798.96
682,3185.853
683,1488.063
684,5159.2842
685,5954.2494
686,4500.808
687,121.8414
688,4318.3788
689,3456.1678
690,1659.8394
691,759.012
692,4974.1918
693,1707.777
694,7488.9184
695,2488.7604
696,2816.334
697,2954.1546
698,761.0094
699,593.2278
700,1298.31
701,1150.5024
702,3072.667
703,3259.7568
704,2756.412
705,2930.1858
706,97.2068
707,1544.656
708,3165.879
709,1619.2256
710,387.4956
711,415.4592
712,226.372
713,1267.6832
714,1593.9252
715,585.904
716,3745.125
717,1810.976
718,2358.2636
719,145.8102
720,554.6114
721,3499.4448
722,1780.3492
723,2566.659
724,1230.3984
725,918.804
726,3079.9908
727,744.3644
728,716.4008
729,5113.344
730,886.8456
731,1039.9796
732,4554.072
733,1807.647
734,2665.8632
735,1751.054
736,2626.581
737,1470.0864
738,4362.3216
739,4476.1734
740,2241.0828
741,4733.838
742,258.3304
743,3174.5344
744,2924.8594
745,960.7494
746,539.298
747,2041.3428
748,996.0368
749,1757.712
750,1842.9344
751,3435.528
752,1402.1748
753,7833.8028
754,1221.0772
755,669.129
756,1061.951
757,2874.9244
758,4592.0226
759,419.454
760,5163.9448
761,323.5788
762,1265.02
763,622.523
764,1125.202
765,5198.5664
766,379.506
767,2432.8332
768,1657.842
769,3006.087
770,2287.023
771,1687.1372
772,3237.1196
773,2746.425
774,1331.6
775,607.8754
776,857.5504
777,4287.752
778,1773.6912
779,597.2226
780,441.4254
781,1431.47
782,2860.2768
783,3364.9532
